English,ASL Gloss
Don't forget to bring a pencil to class tomorrow,TOMORROW CLASS DON'T FORGET BRING PENCIL
My least favorite class in school is geography,GEOGRAPHY MY LEAST FAVORITE CLASS
My goal is to finish my homework before class,MY GOAL WHAT COMPLETE HOMEWORK BEFORE CLASS
Stories about our ancestors are an important part of our heritage,IMPORTANT SHARE STORIES WITH CHILDREN WHY OUR HERITAGE CHERISH
My mechanic is popular because he is honest,MY MECHANIC POPULAR WHY HONEST
My grandma likes to hug everybody,EVERYBODY MY GRANDMA LIKES HUG HUG HUG
XXXXX movies are always humorous,XXXXX HER MOVIES ALWAYS HUMOROUS
Next week I'm going to a workshop on self improvement,NEXT WEEK ME GO-TO WORKSHOP QUOTE SELF IMPROVEMENT
The United States presidential inauguration is a ceremony to recognize a new president,XXXXX PRESIDENT INAUGURATION FOR-FOR RECOGNIZE NEW PRESIDENT
The novelist traveled through Europe looking for inspiration for her next novel,EUROPE WRITER TRAVEL WHY NEED INSPIRATION FOR HER NEXT BOOK
Do you know any good jokes,GOOD JOKE YOU KNOW ANY
My two cats look alike,MY TWO CATS LOOK ALIKE
The baseball just barely missed me,BASEBALL BALL BARELY MISS ME WHIZZ-BY
My daughter can climb a tree like a monkey,TREE CLIMB SAME-AS MONKEY MY DAUGHTER CAN
I want to play outdoors,PLAY OUTDOORS ME WANT
I am allergic to peanuts,PEANUTS ALLERGIC ME
Can I look at your wedding photographs,YOUR WEDDING PHOTOGRAPHS LOOK-AT CAN ME
I like watching people play the piano,PIANO PEOPLE PLAY WATCH ME ENJOY
My plumber is short and bald,MY PLUMBER LOOK-LIKE WHAT SHORT BALD
I am going to try to preserve my wedding gown,MY WEDDING DRESS ME TRY PRESERVE
I enjoy carving Halloween pumpkins,HALLOWEEN PUMPKINS CARVE ENJOY ME
American Sign Language was recognized as a true language in 1965,YEAR 1965 ASL RECOGNIZED TRUE LANGUAGE
My sister has red hair,MY SISTER COLOR HAIR WHAT RED
I'm sorry I didn't catch what you said Can you please repeat yourself,SORRY ME NOT UNDERSTAND YOU PLEASE REPEAT
It is your right to a free and appropriate education,FREE APPROPRIATE EDUCATION YOU HAVE RIGHT
Your answer is right,YOUR ANSWER RIGHT
The bank near my house was robbed two times,TWICE BANK NEAR MY HOUSE ROB
I run every week,EVERY WEEK ME RUN
The security guard at the bank is scary looking,BANK SECURITY GUARD LOOKS SCARY
I gave my mother a new sewing machine for her birthday,MY MOTHER BIRTHDAY NEW SEWING MACHINE ME GAVE
I have been under a lot of stress recently,LATELY STRESS ME
I gave my sweetheart flowers,FLOWERS MY SWEETHEART ME GIVE
I enjoy using technology to help people,TECHNOLOGY ME ENJOY USE WHY HELP PEOPLE
I can't believe how expensive my telephone was,MY TELEPHONE EXPENSIVE ME CAN'T BELIEVE
My brother always finds good XXXXX because he is thrifty,GOOD XXXXX MY BROTHER ALWAYS FIND WHY HE THRIFTY
My new XXXXX is not potty trained yet,MY NEW XXXXX POTTY TRAINED NOT YET
My vision is bad I need new glasses,NEW GLASSES ME NEED WHY MY VISION BAD
It's raining outside so you should bring your umbrella,OUTSIDE RAINING UMBRELLA BRING YOU SHOULD
Merry Christmas and a Happy New Year,MERRY CHRISTMAS HAPPY NEW YEAR
Many people in third world countries experience hunger,THIRD WORLD COUNTRIES MANY PEOPLE HUNGRY
Chemistry is my favorite class in school,SCHOOL MY FAVORITE CLASS WHAT CHEMISTRY
I want a can of pop,CAN POP ME WANT
My family went XXXXX picking last weekend,LAST WEEKEND XXXXX PICKING MY FAMILY GO
Yesterday I accidentally left my bag in the grocery cart,YESTERDAY ME ACCIDENTALLY LEFT MY BAG WHERE FOOD-STORE CART
My library has XXXXX story time every month,EVERY MONTH MY LIBRARY HAVE WHAT XXXXX STORY TIME
My uncle has a turkey farm,TURKEY FARM MY UNCLE HAS
Do you want to build a snowman,SNOWMAN YOU WANT BUILD
I was the fourth person chosen for the soccer team,SOCCER TEAM ME FOURTH PERSON CHOSEN
I love peanut butter with XXXXX,PEANUT BUTTER WITH XXXXX ME LOVE
My family goes to the strawberry farm every summer,EVERY SUMMER STRAWBERRY FARM MY FAMILY GOES-TO
XXXXX showers bring XXXXX flowers,XXXXX RAIN XXXXX FLOWERS GROW GROW GROW
We planted a tree in the front XXXXX yesterday,YESTERDAY FRONT XXXXX TREE WE PLANT
I am lucky to have a very big XXXXX,BIG BATH XXXXX ME HAVE LUCKY ME
The heat is awful today I need to turn on the air conditioner,TODAY HEAT AWFUL #AC TURN ON ME NEED
I have different fish,DIFFERENT FISH ME HAVE
You should wear a tie to the business meeting,BUSINESS MEETING TIE YOU SHOULD WEAR
I love to wear flip flops in the summer,SUMMER FLIP-FLOP WEAR ME LOVE
I did not like visiting Washington DC because there was too much traffic,WASHINGTON DC VISIT ME DIDN'T-LIKE WHY TOO MUCH TRAFFIC
We visited a lighthouse on our vacation last week,LAST WEEK OUR VACATION LIGHTHOUSE WE VISIT
I really like to fish with my dad,FISHING WITH MY FATHER ME ENJOY
I love to read poetry every night before bed,EVERY NIGHT BEFORE BED POETRY ME LOVE READ
I had a conversation with my neighbor yesterday,YESTERDAY MY NEIGHBOR CONVERSATION
My neighbor is nice,MY NEIGHBOR SHE NICE
XXXXX is famous for having hurricanes,XXXXX FAMOUS WHAT HURRICANES
You are learning sign language,YOU LEARN WHAT SIGN LANGUAGE
Happy Valentine's Day,HAPPY VALENTINE'S DAY
Do you have a dollar bill,DOLLAR YOU HAVE
My grandmother bought me new underwear for Christmas,CHRISTMAS NEW UNDERWEAR MY GRANDMOTHER BOUGHT ME
My aunt was an American Indian,MY AUNT HERSELF AMERICAN INDIAN
We ate at an Italian restaurant for my birthday celebration,MY BIRTHDAY CELEBRATION EAT WHERE ITALIAN RESTAURANT
After my long vacation all of my plants had died,LONG VACATION FINISH HAPPEN WHAT MY PLANT PLANT PLANT DIED
I take my cell phone everywhere,MY CELL PHONE ME BRING EVERYWHERE
Do you know our national anthem,OUR NATIONAL ANTHEM YOU KNOW
My dad writes with his right hand and throws with his left hand,MY DAD RIGHT HAND WRITE LEFT HAND THROW
My mom teaches kindergarten,KINDERGARTEN MY MOM TEACH
We learn about Abraham Lincoln today in history class,TODAY HISTORY CLASS WE LEARN ABOUT WHO ABRAHAM LINCOLN
XXXXX is a famous Deaf actor and comedian He says Anything is possible Success has nothing to do with being deaf or black or any disability It has to do with your passion to do greater things in life,XXXXX HIMSELF FAMOUS DEAF ACTOR AND COMEDIAN HE SAYS QUOTE ANYTHING POSSIBLE NOTHING RELATED-TO DEAF BLACK DISABLED ABOUT HAVING PASSION DO WONDERFUL THINGS LIFE
My friend and I like to swap good books with each other,GOOD BOOKS MY FRIEND TWO-OF-US LIKE TO SWAP
It is important that you vote for the new US President,NEW U-S PRESIDENT IMPORTANT YOU VOTE
My best friend lives in California,MY BEST FRIEND LIVES WHERE CALIFORNIA
I am the vice president of my tennis XXXXX,MY TENNIS XXXXX ME VICE PRESIDENT
I made a pledge to my family to exercise more,MY FAMILY PLEDGE ME WHAT EXERCISE MORE WILL ME
My daughter joined the XXXXX last month,LAST MONTH XXXXX MY DAUGHTER JOIN
My son volunteers every week at the animal XXXXX,EVERY WEEK ANIMAL XXXXX MY SON VOLUNTEER
There are too many mosquitos when I camp in the wilderness,WILDERNESS ME CAMP TOO MANY MOSQUITOS
My sister is such an amazing athlete she plays soccer and basketball,MY SISTER AMAZING ATHLETE SOCCER BASKETBALL SHE PLAYS
What XXXXX do I need to fix the bike seat,BIKE SEAT #FIX WHICH XXXXX ME NEED
What kind of soft drink would you like Coke or Pepsi,SOFT DRINK WHICH YOU PREFER COKE PEPSI WHICH
Don't forget to put a stamp on the envelope,ENVELOPE STAMP DON'T FORGET
I hate XXXXX movies,XXXXX MOVIES ME HATE
My brother fell off his skateboard and broke his wrist,SKATEBOARD MY BROTHER FALL WRIST BROKE
XXXXX is a radio host He is deaf but uses cochlear implants to hear,XXXXX HIMSELF RADIO HOST HE DEAF BUT HAVE COCHLEAR IMPLANT
I lost a sock in the laundry,LAUNDRY SOCK LOST ME
I love books so growing up I always wanted to become a librarian,GROW-UP ME ALWAYS WANT BECOME LIBRARIAN WHY ME LOVE BOOKS
Happy New Year,HAPPY NEW YEAR
I play tennis every Friday with 3 women,EVERY FRIDAY TENNIS ME PLAY WITH 3 WOMEN
I could eat pasta for breakfast lunch and dinner,BREAKFAST LUNCH DINNER PASTA EAT ME COULD
I love eating pretzels dipped in chocolate,XXXXX CHOCOLATE DIPPED ME LOVE EAT
I want cupcakes for my birthday not a cake,MY BIRTHDAY XXXXX ME WANT NOT CAKE
The police caught the thief hiding in his car,THIEF POLICE CAUGHT WHERE HIDING IN HIS CAR
I will go to three graduation parties in June,XXXXX THREE GRADUATION PARTIES GO-TO GO-TO GO-TO ME WILL
My favorite XXXXX is XXXXX,MY FAVORITE XXXXX WHAT XXXXX
Mother's Day is on Sunday,SUNDAY MOTHER'S DAY
Today is Fathers Day,TODAY WHAT FATHERS DAY
I like to eat my donuts with coffee,MY DONUTS ME LIKE EAT WITH COFFEE
I reached for the pitcher on the top shelf,PITCHER TOP SHELF ME REACHED
Please wash your hands before dinner,BEFORE DINNER WASH HANDS PLEASE
My family always has a picnic on Memorial Day,MEMORIAL DAY PICNIC MY FAMILY ALWAYS HOST
"I like to watch the movie ""Elf"" on Christmas Eve",CHRISTMAS XXXXX MOVIE QUOTE E-L-F WATCH ME LIKE
Labor Day means summer is over,LABOR DAY MEANS WHAT SUMMER ENDS
I hate shopping on Black Friday,BLACK FRIDAY SHOPPING ME HATE
I enjoy shopping on Cyber Monday,XXXXX MONDAY SHOPPING ME ENJOY
My school celebrates Earth Day by planting trees,EARTH DAY MY SCHOOL CELEBRATE HOW PLANT TREES
Are you going to the XXXXX Day parade,XXXXX DAY PARADE YOU GO
Are you going to a party on New Year's XXXXX,NEW YEARS XXXXX PARTY YOU GO
Flag Day honors our flag,FLAG DAY MEANS WHAT HONOR OUR FLAG
On Election Day many schools close,ELECTION DAY MANY SCHOOLS CLOSE
President's Day is in XXXXX,PRESIDENT'S DAY WHEN XXXXX
I always drink green beer on St Patrick's Day,ST PATRICK'S DAY GREEN BEER ME DRINK ALWAYS
I have six siblings and I am the oldest,SIX SIBLINGS ME HAVE ME OLDEST
We planted the corn field,FIELD XXXXX WE PLANT PLANT PLANT
I like brown sugar on my sweet potato,MY SWEET POTATO BROWN SUGAR SPRINKLE ME LIKE
XXXXX is National Blueberry Popsicle Month,NATIONAL BLUEBERRY POPSICLE MONTH WHEN XXXXX
The coach encouraged me to join the basketball team,BASKETBALL TEAM COACH ENCOURAGED ME JOIN
I wish we had more healthy school lunch options,MORE HEALTHY SCHOOL LUNCH OPTIONS ME WISH WE HAD
I will visit my friend for two days,TWO DAYS MY FRIEND VISIT ME WILL
Growing up we ate lasagna every Friday night,GROW UP EVERY FRIDAY NIGHT LASAGNA WE ATE
Columbus Day is in XXXXX,COLUMBUS DAY WHEN XXXXX
Don't forget time springs forward in the Spring and falls back in the Fall,SPRING TIME SPRINGS FORWARD FALL TIME FALLS BACK DON'T FORGET
In the fall we have to set our clocks to fall back one hour,FALL TIME ONE HOUR FALL BACK
I saw a fancy XXXXX house on my cruise last Christmas,LAST CHRISTMAS MY CRUISE FANCY XXXXX HOUSE ME SAW
My favorite movie is XXXXX,MY FAVORITE MOVIE WHAT QUOTE XXXXX DAY
I'm afraid to go to the library because the librarian is a grouch,LIBRARY GO-TO AFRAID ME WHY LIBRARIAN SHE GROUCH
Laurent Clerc is one of the founders of the first school for the deaf here in America,LAURENT CLERC WHO ONE FOUNDER FIRST DEAF SCHOOL HERE AMERICA
Our mailman is friendly,OUR MAILMAN FRIENDLY
My son will go camping with the Boy Scouts next month,NEXT MONTH CAMPING WITH BOY SCOUTS MY SON GO-TO
XXXXX Year happens every 4 years,EVERY 4 YEARS XXXXX YEAR HAPPEN
Your team lost get over it,YOUR TEAM LOST GET OVER IT
Which Girl Scout cookie is your favorite,GIRL SCOUT COOKIE YOUR FAVORITE WHICH
I was a high school cheerleader for 4 years,4 YEARS HIGH SCHOOL CHEERLEADER ME
I need to backup my computer,MY COMPUTER FILES SAVE BACKUP ME NEED
I bought a new bikini for spring break,SPRING BREAK NEW BIKINME BOUGHT ME
Can I offer you a refreshment,REFRESHMENT CAN ME OFFER YOU
The receptionist at my doctor's office is not friendly,MY DOCTOR OFFICE RECEPTIONIST NOT FRIENDLY
My aunt and uncle live in Chicago,CHICAGO MY AUNT UNCLE LIVE THERE
Both my son and daughter have red hair,RED HAIR MY SON MY DAUGHTER BOTH HAVE
Do you use XXXXX,XXXXX YOU USE
This year I took my boyfriend out to eat on XXXXX,THIS YEAR XXXXX DAY MY BOYFRIEND ME TOOK OUT EAT
Deaf Awareness Week is in XXXXX,DEAF AWARENESS WEEK WHEN XXXXX
I eat XXXXX and cheese with XXXXX every week,EVERY WEEK XXXXX AND CHEESE WITH XXXXX ME EAT ME
Hot cocoa is my favorite bedtime XXXXX,MY FAVORITE BEDTIME XXXXX WHAT HOT COCOA
I try not to eat fast food,FAST FOOD ME TRY NOT EAT
My Bachelor's degree is in Special Education,MY #BA DEGREE WHAT SPECIAL EDUCATION
If you want to clarify your goals you need to form a vision first,YOU WANT CLARIFY YOUR GOALS HOW FIRST FORM VISION
My favorite movie is XXXXX,MY FAVORITE MOVIE WHAT QUOTE XXXXX
The pharmacist answers questions about medications,PHARMACIST DO-DO ANSWER QUESTIONS ABOUT MEDICINE
My mentor has helped me a lot,MY MENTOR HELP-ME A LOT
I donate blood every three months,EVERY THREE MONTHS BLOOD ME DONATE
It is important to unplug your electronics when you go on vacation,TIME GO VACATION IMPORTANT UNPLUG YOUR ELECTRONICS
Laughter is good for your mental health,LAUGH GOOD FOR YOUR MENTAL HEALTH
I like to cuddle up with my cat,MY CAT ME LIKE CUDDLE
Deaf history includes the history of deaf people and their culture,DEAF HISTORY INCLUDE WHAT HISTORY AND CULTURE
Hawaii is a great place to go surfing,GREAT PLACE SURF WHERE HAWAII
Pizza and movie night is every Friday,EVERY FRIDAY NIGHT WHAT PIZZA MOVIE
Do you want to join our bowling league,OUR BOWLING XXXXX JOIN-US YOU WANT
After retirement I plan to move to XXXXX,FUTURE ME RETIRE DO-DO MOVE XXXXX
If you brush your teeth everyday you won't have bad breath,IF EVERYDAY BRUSH-TEETH BAD BREATH YOU NOT HAVE
Hello how are you,HELLO HOW YOU
Hello how are you,HELLO HOW YOU
How are you,HOW YOU
How are you,HOW YOU
How are you,HOW YOU
How are you,HOW YOU
How have you been,UP TILL NOW HOW YOU
I'm lousy,ME FEEL LOUSY
I have been busy,ME BUSY
Hello what have you been up to,HELLO WHAT'S UP
What have you been up to,WHAT'S UP
I'm glad to see you,ME HAPPY SEE YOU
It's good to see you,GOOD SEE YOU
I haven't seen you for a long time,SEE NO LONG
How was your day,HOW YOUR DAY
Was your day good,YOUR DAY GOOD
What did you do today,TODAY YOU DO-DO
I went to school,SCHOOL ME WENT
I worked all day,ALL DAY WORK ME
I cleaned the house and did the laundry,HOUSE CLEAN LAUNDRY ME
I watched TV,TV WATCH ME
How are you feeling,HOW YOU FEEL
How are you feeling,HOW YOU FEEL
How are you feeling,HOW YOU FEEL
I don't feel well I have a cold,ME NOT FEEL GOOD ME HAVE COLD
I feel great Thank you for asking,ME FEEL GREAT THANK YOU ASK-ME
I feel so so I have a headache,SO-SO HEADACHE ME HAVE
What did you do in school,SCHOOL YOU DO-DO
What did you learn in school,YOU LEARN WHAT
Math English Social Studies Science,MATH ENGLISH SOCIAL STUDIES SCIENCE
Art Gym Student Council Yearbook,ART GYM STUDENT COUNCIL YEARBOOK
What's the weather like today,TODAY WEATHER WHAT
It's sunny,SUNNY
It's raining,RAIN
It's clear outside,CLEAR
Snowing,SNOW
It's windy,WINDY
It's cold,COLD
It's hot,HOT
It's warm,WARM
I think it is supposed to rain all week,ALL WEEK SUPPOSED-TO RAIN ME THINK
What is the temperature outside,TEMPERATURE OUTSIDE WHAT
Are you taking a sign language class,SIGN LANGUAGE CLASS TAKE-UP YOU
Yes I'm taking a sign language class,YES SIGN LANGUAGE CLASS TAKE ME
No I'm not taking a sign language class,NO SIGN LANGUAGE CLASS ME NOT TAKE
No I am not taking a sign language class now but I will take a class next semester,SIGN LANGUAGE CLASS ME NOT TAKE NOW BUT NEXT SEMESTER CLASS TAKE I
Where are you taking class at,CLASS YOU TAKE WHERE
I am taking class at Chicago Community College,ME TAKE-UP CLASS CHICAGO COMMUNITY COLLEGE
I am taking an online class,ONLINE CLASS ME TAKE-UP
I am taking a class at my local library,CLASS ME TAKE-UP WHERE MY LOCAL LIBRARY
Is your teacher deaf or hearing,YOUR TEACHER DEAF HEARING WHICH
My teacher is deaf,MY TEACHER DEAF
My teacher is hearing but is a CODA,MY TEACHER HEARING BUT HERSELF CODA
My teacher is XXXXX,MY TEACHER XXXXX
Why are you taking a sign language class,SIGN LANGUAGE CLASS YOU TAKE-UP WHY
I am taking the class because I want to be an interpreter,CLASS ME TAKE-UP WHY ME WANT BECOME INTERPRETER
I am taking the class so I can communicate with my deaf friends,CLASS ME TAKE-UP WHY ME WANT COMMUNICATE WITH DEAF FRIENDS
I am taking the class for fun I like to learn new languages,CLASS ME TAKE-UP FOR #FUN NEW LANGUAGES LEARN ME LIKE
What is your name,YOUR NAME WHAT
Where do you live,YOU LIVE WHERE
Where do you live,YOU LIVE WHERE
Where do you live,YOU LIVE WHERE
I live in Michigan,ME LIVE MICH
I live in Detroit,ME LIVE DETROIT
I live in Washington DC,ME LIVE WASHINGTON DC
Where are you from,YOU FROM WHERE
I'm from Michigan,ME FROM MICH
I am from Miami Florida,ME FROM MIAMI #FLA
I am from Los Angeles California,FROM #LA CALIFORNIA
Where did you grow up,YOU GROW UP WHERE
I grew up in Indiana,ME GREW UP #IND
I grew up in Indianapolis Indiana,ME GREW UP INDIANAPOLIS #IND
I grew up in Minneapolis Minnesota,GREW UP MINNEAPOLIS #MINN
I grew up in Pittsburgh Pennsylvania,ME GREW UP PITTSBURGH #PA
Where were you born,YOU BORN WHERE
I was born in New York,ME BORN NEW YORK
I was born in London England,ME BORN LONDON ENGLAND
I was born in Houston Texas,ME BORN HOUSTON TEXAS
Where do you work,YOU WORK WHERE
I work at a university,UNIVERSITY ME WORK
What do you do,YOU WORK YOU DO-DO
I'm a teacher,TEACHER ME
I'm an interpreter,INTERPRETER ME
I'm an author,AUTHOR ME
Are you married,MARRIAGE YOU
Are you single,SINGLE YOU
I'm divorced,DIVORCED ME
I'm separated,SEPARATED ME
Do you have any children,CHILDREN HAVE YOU
How many children do you have,CHILDREN YOU HAVE HOW MANY
I have 2 children 1 boy and 1 girl,2 CHILDREN ME HAVE 1 BOY 1 GIRL
Yes I live in a house,YES HOUSE ME LIVE
No I live in an apartment,NO ME LIVE APARTMENT
No I live in a townhouse,NO ME LIVE #TH
How many bedrooms and bathrooms do you have,BEDROOMS BATHROOMS YOU HAVE HOW MANY
I have 3 bedrooms and 2 bathrooms,ME HAVE 3 BEDROOMS 2 BATHROOMS
When is your birthday,YOUR BIRTHDAY WHEN
I am excited my birthday is tomorrow,TOMORROW MY BIRTHDAY ME EXCITED
Where do you like to shop,YOU LIKE SHOP WHERE
I like to go to XXXXX,ME LIKE GO-TO XXXXX
I only shop online,ONLY SHOP ONLINE
I enjoy browsing at XXXXX,XXXXX LOOKING-AROUND ENJOY ME
I need to buy new comfortable shoes before I go to Disney World,NEW COMFORTABLE SHOES NEED BUY ME WHY DISNEY WORLD GO-TO WILL ME
Do you have any hobbies,#HOBBY ANY YOU HAVE
I like to golf and play hockey,GOLF PLAY HOCKEY ME LIKE
I sew often,SEW OFTEN ME
I like to watch college football,COLLEGE FOOTBALL WATCH ME LIKE
I love watching sports every Saturday,EVERY SATURDAY #SPORTS WATCH ME LOVE
What do you like to do on your time off,YOU OFF YOU LIKE DO-DO
I like to relax at home,ME LIKE HOME RELAX
I like going to the movies,MOVIE GO-TO ME LIKE
I love to shop,SHOPPING LOVE ME
My favorite time to swim is 8 in the morning,MY FAVORITE TIME SWIM WHEN 8 MORNING
Do you like to travel,TRAVEL YOU ENJOY
Yes I enjoy traveling,YES ME ENJOY TRAVEL
No I do not like to travel,NO ME DON'T-LIKE TRAVEL
I visited Gallaudet University two years ago,2 YEARS AGO GALLAUDET UNIVERSITY ME VISIT
Have you been outside of the country before,TOUCH-FINISH OTHER COUNTRY YOU
Yes I've been to France Germany Switzerland,YES FRANCE GERMANY SWITZERLAND TOUCH-FINISH ME
No but next year I am going to England Scotland and Ireland,NO BUT NEXT-YEAR ENGLAND SCOTLAND IRELAND ME TRAVEL
